Asiakasnro;Y-tunnus;Toimijan nimi1;Toimijan nimi2;TKohdenro;Kohde;Lahiosoite;Postitmp;Toimintaluokka;Toimintaluokan nimi;Toimintatyyppi;Toimintatyypin nimi;Asiakaspaikkojen määrä;Toiminnan aloitus pvm;
3549;1549988-7;Viabar Oy;;35098;Ravintola Susisaaren Ruokala;Suomenlinna B 1;00190 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;350;15.03.2018;
8945;2310190-4;Rahman Md Lutfor avoin yhtiö;;18586;Ravintola Hermannin Kukko;Hämeentie 81-83;00550 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;120;14.12.2011;
12279;2445112-1;Vera Mustonen Tmi;;18615;Kotipizza Oulunkylä;Siltavoudintie 9-11;00640 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;24;;
4617;0658353-4;Restel Ravintolat Oy;;6709;Hartwall Areena/Silver Star Café;Areenankuja 1;00240 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;140;23.12.2011;
4617;0658353-4;Restel Ravintolat Oy;;6706;Hartwall Areena/Platinum Restaurant;Areenankuja 1;00240 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;200;23.12.2011;
11361;2140315-9;Demsal Oy;;35090;Ravintola Frutti di Mare;Porvoonkatu 23;00510 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;80;01.01.2018;
8947;1955902-3;Africans and African-Europeans Association (AFEAS);;13187;Africans and African-Europeans Association (AFEAS);Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;-;30.12.2011;
7482;1996262-1;Gashion;;10765;Gashion/ ruokamyynti;Jakomäentie 10 C A 355;00770   HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;-;30.12.2011;
2992;1011613-8;Helsingin Työttömät HETY ry;;4268;Helsingin työttömät ry;Nokiantie 2-4;00510 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;-;30.12.2011;
8513;0935464-9;Tuulan Soppatykki Oy;;12472;Tuulan Soppatykki Oy;Kalannintie 4 C;00430 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;-;02.01.2012;
3187;1365180-6;M. el Ouacif;;4471;Elmed Herkkuja;Liikkuva elintarvikehuoneisto;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;-;02.01.2012;
10376;1594490-1;MR-Ruokailupalvelut Oy;;15332;MR-Ruokailupalvelut Oy;Osmundsbölentie 183;10300 Karjaa;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;-;02.01.2012;
3464;1772308-8;Suomen Meriruokakeittiö Oy;;4753;Suomen Meriruokakeittiö Oy;Kauppatori;00170 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;26;09.01.2012;
3435;1440588-5;Soppakanuuna Terho Oy;;4722;Soppakanuuna Terho;Kauppatori;00170 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;75;09.01.2012;
6809;2112598-8;Toothpicks and Honey Oy;;18796;Caruzello;Tivolikuja 1;00510 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;260;10.01.2012;
4216;1949229-5;Kumari Oy;;18823;Kahvila-Ravintola Nuppu;Läntinen Brahenkatu 12;00510 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;65;01.02.2012;
10512;2369059-3;Sabor a México Oy;;18831;La Patrona;Annankatu 20;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;58;;
3811;1529007-1;Dikmen Ky;;18864;Vuo Kebab & Pizza;Vuosaarentie 8;00980 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;24;01.01.2012;
11679;2356869-4;Kettupojat Oy;Putte's Bar & Pizza;17795;Putte's Bar & Pizza;Kalevankatu 6;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;160;01.03.2012;
12471;2447278-2;Jesan Oy;;18913;Trattoria Il Faro;Suolakivenkatu 24 E;00810 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;62;15.01.2012;
20515;2698390-6;St. George Oy;;35072;Hotel St. George, a la carte ravintola Andrea;Yrjönkatu 13;00120 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;90;;
19870;2726886-7;Kultakauha Avoin Yhtiö;;35071;Pinto B'Staurant;Vilhonvuorenkatu 3 LH 1;00500 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;18;;
8738;2282490-8;AV Thai Kitchen Oy;;18939;Thai Orchid Kamppi;Urho Kekkosen katu 1-3;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;54;;
12522;2442387-6;Dilman;PASILAN PIZZA PALVELU;18991;Pasilan Pizzapalvelu;Asemapäällikönkatu 3;00520 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;50;;
12153;2419121-9;Makalu  Oy;Ravintola Makalu;18428;Ravintola Makalu;Pikkalankatu 5;00700 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.10;Ravintolatoiminta;55;24.02.2012;
